Catalog Number, Description, 2022, 2021, 2020, 2019
AC108611000, 3-CHLOROBENZALDEHYDE 99 100ML, 141.47, , 131.68, 
AC139515000, N-TRIDECANE 99+% 500ML, 246.28, 237.2, , 
AC161350100, D(-)-FRUCTOSE 99% 10KGD, 769.54, , , 
AC166251000, CHLOROFORM-D 99.8 ATOM 100ML, 52.24, 44.41068, 49.3 (matched with similar item: AC166261000), 
AC193290010, LANTHANUM(III) OXIDE 99 1KG, 343.41, 350.99 (matched with similar item: AC199160010), , 
AC209561000, CHLOROFORM-D 99.8 ATOM 100ML, 58.64, 50.40792, 49.3 (matched with similar item: AC166261000), 
AC209565000, CHLOROFORM-D 99.8 ATOM 500ML, 235.72, 229.58, , 
AC220130010, PROPIONIC ACID P.A. 1LT, 49.49, 46.84, , 
AC259960025, L-(+)-SELENOMETHIONINE 2.5G, 479.7, , , 
AC263011000, HYDROXYCHLOROQUINE SULFA 100GR, 535.5, , , 
AC321290500, (METHYL SULFOXIDE)-D6 99 50G, 128.88, 122.38452, , 
AC327111000, PHENOL/CHLOROFORM/ISOAMY 100ML, 69.3, 69.3, , 
AC327115000, PHENOL/CHLOROFORM/ISOAMY 500ML, 220.42, 220.42, 226.77, 
AC388368000, HYDROGEN CHLORIDE, 287.92, 295.74, , 
AC401475000, L-ASCORBIC ACID REAGENT 500GR, 172.04, 172.04, 165.04, 
AC409915000, ETHYLENEBIS(OXYETHYLENENITRILO, 649.18, , , 
AC413100010, LECITHIN 1KG, 183.14, 183.14, , 
AC444380050, HYDROGEN PEROXIDE TECHN 5LT, 83.16, , , 
AC610010040, ACETONITRILE 99.9+% HPLC 4LT, 322.63, 322.63, , 
AC615080040, ETHYL ETHER ANHYDROUS CE 4LT, 237.71, 237.71, , 
ADP3200, RHP-SELECTIN/CD62P CF 200 UG, 730.4, 720.02, , 
AF1129, HERBB2 AFF PUR PAB 100 UG, 402.51, 378.108, , 
AF1729, MTREM-2 AFF PUR PAB 100 UG, 402.51, 388.5, , 
AF2018, HSOX2 AFF PUR PAB 100 UG, 402.51, 388.5, 393.5, 
AF231, HEGF R AFF PUR PAB 100 UG, 402.51, 377.13599999999997, , 
AF2918, HSYNDECAN-4 AFF PUR PAB 100 UG, 402.51, , , 
AF2945, HNRL AFF PUR PAB 100 UG, 402.51, 378.108, , 
AF3628, MCD31/PECAM-1 AFF PUR P 100 UG, 402.51, 388.5, , 
AF4940, H/MPHOX2B AFF PUR PAB 100 UG, 402.51, 378.108, , 
AF743, MVEGF R3 AFF PUR PAB 100 UG, 402.51, , , 
AF808, MOSTEOPONTIN AFF PUR PA 100 UG, 402.51, 388.5, , 
AF933, HACE-2 ECTO AFF PUR PAB 100 UG, 402.51, 376.164, , 
AF960, HEPCAM AFF PUR PAB 100 UG, 402.51, 377.13599999999997, , 
AM2179, MULTISTIX BT OF 100 STRIPS, 134.32, 141.27, 136.87, 
AP4004700, GLASS FIBER FILTER 47MM 100PK, 45.61, 46.38, 43.66, 41.14
ARY003C, HPHOS KINASE ARRAY KIT 1 KT, 756.0, 720.0, 757.81 (matched with similar item: ARY003B), 715.05 (matched with similar item: ARY003B)
ARY005B, HCYTOKINE ARRAY KIT 1 KT, 565.0, 542.88, 560.5, 
ARY006, MCYTOKINE ARRAY KIT PA 1 KT, 523.19, 513.69, 527.5, 
ARY007, HANGIOGENESIS ARRAY KIT 1 KT, 650.0, 631.33, , 
ARY008, RCYTOKINE ARRAY KIT PA 1 KT, 523.19, 516.15, , 
ARY013, MADIPOKINE ARRAY KIT 1 KT, 574.97, , , 
ARY014, MPHOS RTK ARRAY KIT 1 KT, 574.97, 571.5, , 
ARY022B, HXL CYTOKINE ARRAY KIT 1 KT, 860.0, 825.2, , 
ARY024, HADIPOKINE ARRAY KIT 1 KT, 654.15, 687.11, , 
ARY028, MXL CYTOKINE ARRAY KIT 1 KT, 860.0, 825.2, , 
ARY030, RXL CYTOKINE ARRAY KIT 1 KT, 865.36, 844.0, , 
AS4052, PETRI DISH 60X15 STR 500CS, 72.7, 59.03, 57.93, 
AS507, POLYPROP SHELL VIAL NRW 500/CS, 47.54, 39.88, 38.82, 
AS510, SHELL VIAL WIDE TRAY 500/CS, 86.39, 72.93, 68.87, 
A11710X1AMP, FORMIC ACID LCMS 10X1 ML AMPUL, 95.71, 78.14880000000001, 80.4, 
A11750, FORMIC ACID OPTIMA LC/MS 50ML, 44.35, 44.35, 42.47, 
A144C212, HYDROCHLORIC ACID 2.5L 6/CS, 193.05, 193.05, 189.01, 
A144S212, HYDROCHL AC SAFCOT 6X21/2L 6CS, 205.06, 205.06, 210.97, 
A144212, HYDROCHLOR ACID REAG ACS 21/2L, 53.58, 53.58, 55.12, 
A144500, HYDROCHLOR ACID REAG ACS 500ML, 38.34, 38.34, , 
A18P4, ACETONE ACS 4L, 42.58, 39.54, 40.68, 
A1820, ACETONE CERTIFIED ACS 20L, 104.1, 98.49, 101.33, 
A184, ACETONE CERTIFIED ACS 4L, 40.77, 40.77, 41.94, 
A200S212, NIT ACID R ACS SAF 4X21/2L/CS, 237.56, 237.56, , 
A214, ACETONITRILE CERTIFIED ACS 4L, 101.12, 77.70168, 78.3, 
A258500, PROPIONIC ACID CERTIFIED 500ML, 62.07, 62.07, , 
A298212, SULFURIC ACID TECHNICAL 21/2L, 62.37, 62.37, , 
A300S212, SULFURIC ACD SAFECTE 2.5L 6/CS, 284.2, 284.2, 292.39, 
A322100, TRICHLOROACETIC ACID CR 100G, 39.94, 39.94, 39.26, 
A322500, TRICHLOROACETIC ACID CR 500G, 138.3, 138.3, 142.28, 
A38C212, ACETIC ACID ACS 6X2.5L CS, 259.85, 259.85, 247.26, 
A38212, ACETIC ACID GLACIAL ACS 2 1/2L, 85.45, 85.45, 87.91, 
A405P4, ETHANOL AHYD HISTO 4L, 98.39, 98.39, 95.18, 
A40520, ETHANOL AHYD HISTO 20L, 250.19, 250.19, 257.4, 
A407P4, ETHYL ALCOHOL DENATURED 4L, 62.27, 62.27, 58.44, 
A4094, ETHANOL 200 PRF USP EP ACS 4L, 168.19, 168.19, , 
A4114, METHANOL LABORATORY GRADE 4L, 36.4, 36.4, 37.45, 
A412P4, METHANOL CERT ACS 4L POLY, 37.89, 37.89, 38.98, 
A412SK4, METHANOL ACS 4L SAFE-COTE, 35.69, 35.69, , 
A4121, METHANOL CERTIFIED ACS 1L, 20.21, 17.93, 16.84, 
A41220, METHANOL CERTIFIED ACS 20L, 88.33, 84.01, 86.43, 
A4124, METHANOL CERTIFIED ACS 4L, 36.95, 36.95, 38.01, 
A416P4, 2-PROPANOL ACS 4L, 72.87, 72.87, 74.97, 
A41620, 2-PROPANOL CERTIFIED ACS 20L, 143.09, 143.09, 147.21, 
A4164, 2-PROPANOL CERTIFIED ACS 4L, 64.86, 64.86, 66.73, 
A416500, 2-PROPANOL CERTIFIED ACS 500ML, 19.88, 18.52, 17.79, 
A426P4, 2-PROPANOL HISTO 4L POLY, 48.75, 48.75, 50.15, 
A433P4, METHANOL HISTO 4L POLY, 40.7, 40.7, 39.88, 
A43420, METHANOL ACS IN SPEC 20L DRUM, 98.17, 90.78, 93.39, 
A4514, 2-PROPANOL CERT ACS/HPLC 4L, 55.25, 55.25, 56.84, 
A452SK4, METHANOL HPLC 4L SAFECOTE, 37.5, 34.35, , 
A4524, METHANOL CERT ACS/HPLC 4L, 31.58, 31.58, 32.49, 
A454SK4, METHANOL OPTIMA 4L SK, 51.09, 51.09, 49.08, 
A4544, METHANOL OPTIMA GRADE 4L, 47.2, 47.2, 45.43, 
A4561, METHANOL LC/MS OPTIMA 1L, 31.58, 29.34, , 
A4564, METHANOL LC/MS OPTIMA 4L, 73.95, 59.991839999999996, 59.66, 
A4591, ISOPROPYL ALCOHOL 70% 1LI, 34.86, 30.58, , 
A4594, ISOPROPYL ALCOHOL 70% 4LT, 56.21, 49.212360000000004, 50.63, 
A4614, OPTIMA LC/MS 2-PROPANOL (IPA), 88.74, 88.74, 91.3, 
A466500, HYDROCHLORIC ACID-OPTIMA 500ML, 407.96, 407.96, 388.0, 
A467500, NITRIC ACID OPTIMA 500ML, 378.56, 378.56, , 
A508P212, HYDROCHLOR ACID TRACE MTL 2.5L, 138.3, 138.3, 133.98, 
A5084, HCL TRACEMETAL POLY 4L, 142.61, 142.61, 138.29, 
A509P212, NITRIC ACID TRACE MTL 2.5L, 120.17, 120.17, 116.45, 
A51620, 2 PROPANOL USP 20L, 528.12, , , 
A637500, AMMONIUM ACETATE ACS 500G, 164.98, 164.98, 159.56, 
A669212, AMMONIUM HYDROXIDE ACS 2.5L, 147.65, 147.65, 139.14, 
A70210, AMMONIUM SULFATE ACS 10KG, 540.78, 540.78, 509.91, 
A9464, ACETONE ELECTRONIC GRADE 4L, 83.39, 83.39, 85.79, 
A9494, ACETONE HPLC GRADE 4L, 46.67, 46.67, 48.01, 
A9551, ACETONITRILE LC/MS OPTIMA 1L, 63.66, 50.85504, , 
A955212, OPTIMA LC/MS ACETONITRILE 2.5L, 99.59, 89.48, , 
A9554, ACETONITRILE LC/MS OPTIMA 4L, 120.34, 95.47956, 98.23, 
A9561, UHPLC-MS ACETONITRILE, 89.04, 72.83, , 
A962P4, ALCOHOL REAGENT 4L POLY, 50.7, 50.7, 52.16, 
A9624, ALCOHOL REAGENT 4L, 60.78, 60.78, , 
A996SK4, ACETONITRILE OPTIMA 4L SK, 96.49, 83.6, , 
A9964, ACETONITRILE OPTIMA GRADE 4L, 95.32, 75.36888, 77.54, 
A998SK4, ACETONITRILE HPLC 4L SAFE-COTE, 106.18, 94.57, 97.29, 
A9984, ACETONITRILE HPLC GRADE 4L, 89.39, 73.05552, 75.16, 
BAF2188, HCA9 BIOT AFF PUR PAB 50 UG, 455.1, 420.39, 432.5, 
BAF285, HIFN-G BIOT AFF PUR PAB 50 UG, 455.1, 437.79, , 
BAF497, MLEPTIN R BIOT AFF PUR  50 UG, 455.1, 425.736, , 
BAF650, HTROP-2 BIOT AFF PUR PA 50 UG, 455.1, 437.79, 437.5, 
BAF960, HEPCAM BIOT AFF PUR PAB 50 UG, 455.1, 424.27799999999996, , 
BDB340364, CD19 (SJ25C1) PE, 288.23, , , 
BDB340443, CD4 APC, 497.17, 497.17, 511.49, 470.24
BDB347344, CD3 PERCP, 642.06, , , 
BDB550261, MS CD11C APC MAB 0.1MG HL3, 275.33, 275.33, , 
BDB550474, ANNEXIN V RECOM APC 100TST, 280.16, 280.16, 288.23, 
BDB550787, HU CD14 PERCP-CY5.5 MAB 0.1MG, 342.68, 322.82063999999997, , 331.64
BDB552598, BRDU APC FLOW KIT 50TST, 439.56, 439.56, , 
BDB552843, MS IG KPA COMP BEAD SET 1EA, 195.52, 195.52, 201.15, 195.3
BDB552845, RAT/HAMSTER COMPBEAD SET, 204.12, 204.12, 214.97, 
BDB553142, MS CD16-CD32 PURE MAB 0.5MG 2., 258.31, 243.21384, 249.86, 231.69
BDB553721, MS CD40 NALE MAB 0.5MG HM40-3, 267.44, 252.05903999999998, , 258.95
BDB554586, MS GM-CSF RECOM 10UG, 434.74, 434.74, , 
BDB554655, CYTOFIX BUF 100ML, 116.64, 116.64, 122.84, 
BDB554714, CYTOFIX/CYTOPERM BUF KIT, 234.98, 234.98, 245.69, 
BDB554715, CYTOFIX/CYTOPERM WITH GOLGISTO, 256.01, 256.01, , 
BDB554723, PERM WASH BUF 100ML, 131.22, 131.22, 138.2, 
BDB555214, TMB SUBSTRATE REAGENT SET, 91.78, 91.78, , 
BDB555398, HU CD14 PE MAB 100TST M5E2, 236.24, 222.1992, , 228.27
BDB555403, HU CD16 NALE MAB 0.5MG 3G8, 425.08, 425.08, , 
BDB555414, HU CD19 PE-CY5 MAB 100TST HIB1, 244.89, 230.58756, , 236.89
BDB555429, HU CD25 NALE MAB 0.5MG M-A251, 473.37, 473.37, , 
BDB555432, HU CD25 PE MAB 100TST M-A251, 173.93, 173.93, , 150.75
BDB555482, HU CD45 FITC MAB 100TST HI30, 140.08, 140.08, , 
BDB555485, HU CD45 APC MAB 100TST HI30, 186.92, 176.0778, , 180.89
BDB556421, ANNEXIN V RECOM PE 200TST, 338.13, 338.13, 347.87, 
BDB557648, HU (CD197) CCR7 PE-CY7 MAB 100, 327.99, , , 
BDB557742, HU CD14 PE-CY7 MAB 100TST M5E2, 297.55, 297.55, , 
BDB557753, HU CD25 APC-CY7 MAB 100TST M-A, 308.11, , , 
BDB557917, HU CD3 ALEXA 700 MAB 0.1MG SP3, 230.51, 230.51, 237.15, 237.15
BDB557943, HU CD3 ALEXA 700 MAB 0.1MG UCH, 221.47, 221.47, , 227.85
BDB558050, PERM BUF III 125ML, 183.55, 183.55, 188.84, 
BDB558615, HU KI-67 ALEXA 647 MAB 100TST, 365.11, 351.64043999999996, 361.77, 361.77
BDB559934, ANNEXIN V RECOM CY5 200TST, 328.47, 328.47, , 
BDB560525, MS LY-6C PERCP-CY5.5 50UG, 195.8, , , 
BDB560551, HU CD127 PERCP-CY5.5 50TST HIL, 213.69, , , 
BDB560566, HU CD45 ALEXA 700 MAB 50TST HI, 190.32, 190.32, , 
BDB560596, MS LY-6C APC-CY7 50UG AL-21, 244.42, 244.42, , 
BDB560662, HU CD8 PERCP-CY5.5 50TST, 173.93, , , 
BDB560736, HU CD20 PERCP-CY5.5 50TST 2H7, 198.78, 198.78, , 
BDB560770, NHP CD3 V500 100TST SP34-2, 384.18, 384.18, 395.25, 371.07
BDB561108, MS CD3E PERCP-CY5.5 MAB 25UG, 77.28, 77.28, , 
BDB562428, HU CD8 BV421 MAB 100TST RPA-T8, 357.44, 357.44, , 
BDB562462, HU GRANZYME B PE-CF594 GB11 50, 241.52, 241.52, , 
BDB562682, MS ROR GAMMA T A647 Q31-378 0., 233.57, , , 
BDB562710, MS LY-6G LY-6C PE-CF594 RB6-8C, 207.71, 207.71, , 
BDB562751, HU CD56 BV421 NCAM16.2 100TST, 357.44, 357.44, , 
BDB562753, BTK (PY223)/ITK (PY180) PE N35, 263.38, 263.38, , 
BDB562877, NHP CD3 BV421 SP34-2 50TST, 265.67, 265.67, , 
BDB562899, HU KI-67 BV421 B56 50TST, 256.01, 256.01, 263.38, 
BDB563079, HU CD14 BV510 MPHIP9 50TST, 263.38, 263.38, , 
BDB563127, HU CD16 BV711 3G8 50TST, 265.67, 265.67, 273.32, 
BDB563152, MS CD8A BV605 53-6.7 50UG, 263.38, 263.38, , 246.45
BDB563157, MS CD19 BV711 1D3 50UG, 256.01, 256.01, , 
BDB563179, MS CD223 BV711 C9B7W 50UG, 265.67, 265.67, 273.32, 
BDB563332, MS CD8A BV786 53-6.7 50UG, 256.01, 256.01, 263.38, 
BDB563389, HU GRANZYME B BV421 GB11 50TST, 265.67, 265.67, , 
BDB563550, HU CD4 BUV395 SK3 100TST, 393.05, 393.05, , 367.35
BDB563698, HU CD14 BV786 M5E2 100TST, 392.59, , , 
BDB563716, HU CD45 BV786 HI30 100TST, 376.77, 376.77, 387.62, 
BDB563786, MS CD8A BUV395 53-6.7 50UG, 256.04, 256.04, 263.42, 255.75
BDB563790, MS CD4 BUV395 GK1.5 50UG, 246.73, 246.73, 253.84, 246.45
BDB563794, BRILLIANT STAIN BUFFER 5ML, 135.24, 135.24, 139.14, 
BDB563795, HU CD8 BUV395 RPA-T8 100TST, 393.05, 393.05, 404.37, 
BDB563798, HU CD3 BV421 SK7 100TST, 347.78, 347.78, , 
BDB563830, HU CD16 BV510 3G8 100TST, 362.77, , , 
BDB563836, HU CD69 BV711 FN50 100TST, 382.65, , , 
BDB563872, HU CD15 BUV395 HI98 100TST, 404.52, , , 
BDB563879, HU CD45 BV421 HI30 100TST, 334.47, 334.47, 344.1, 344.1
BDB563891, MS CD45 BV510 30-F11 50UG, 227.03, 227.03, 233.57, 
BDB563914, HU/NHP CD4 BV786 L200 50TST, 248.59, 248.59, 255.75, 255.75
BDB563948, RAT CD3 BV421 1F4 50UG, 212.43, 212.43, , 218.55
BDB564001, HU CD3 BUV395 SK7 100TST, 404.52, , , 
BDB564038, HU CD62P BV421 AK-4 100TST, 357.44, 357.44, , 
BDB564040, HU HLA-DR BUV395 G46-6 50TST, 265.23, , , 255.75
BDB564099, NHP CD45 BUV395 D058-1283 50T, 263.68, 263.68, , 
BDB564105, HU CD45 PERCP-CY5.5 HI30 100T, 318.81, 318.81, , 
BDB564117, HU/NHP CD3 BUV395 SP34-2 50TST, 283.59, 283.59, , 
BDB564174, HU CD61 APC VI-PL2 100TST, 251.17, 251.17, , 
BDB564220, HU FC BLOCK PUR FC1.3070 .25MG, 145.13, 140.1138, 144.15, 134.85
BDB564336, MS IFN-GMA BV711 XMG1.2 50UG, 273.32, , , 
BDB564723, MS ROR G T BV786 Q31-378 50UG, 256.01, 256.01, , 
BDB565562, HU TIM-3(CD366) BV421 7D3 100T, 367.74, , , 
BDB565964, MS LY-6G BUV395 1A8 25UG, 203.97, 203.97, , 
BDB565967, MS CD45 BUV395 30-F11 25UG, 203.97, 203.97, , 
BDB566349, BRILLIANT STAIN BUFFER 1000TST, 632.77, 632.77, 651.0, 
BDB566385, BRILLIANT STAIN BUF PLUS 1000T, 632.77, 632.77, , 
BDB612748, HU CD4 BUV737 SK3 100TST, 393.05, 393.05, , 
BDB612786, HU CD16 BUV737 3G8 100TST, 393.05, 393.05, , 
BDB612815, HU CD28 BUV737 CD28.2 100TST, 393.05, 393.05, , 
BDB612817, HU CD69 BUV737 FN50 100TST, 404.52, , , 
BDB612942, HU CD8 BUV496 RPA-T8 100TST, 362.58, , , 
BDB612952, MS CD4 BUV496 GK1.5 50UG, 273.64, 273.64, 263.42 (matched with similar item: BDB564667), 255.75 (matched with similar item: BDB564667)
BDB740163, HU CD14 BV510 M5E2 50UG, 509.0, 496.0, , 
BDB740441, MS CD196 BV650 140706 50UG, 612.0, , , 
BDB740709, MS CD86 BV711 PO3 50UG, 360.0, 351.0, , 
BDB740853, MS NK-1.1 BV786 PK136 50UG, 360.0, , , 
BDB742640, HU CD11B BV650 D12 50UG, 509.0, , , 
BDB744100, HU CD178 BV650 NOK-1 50UG, 509.0, , , 
BDB745569, HU TCRAB BUV395 IP26 50UG, 509.0, , , 
BDB747917, HU NKG2A BV786 131411 50UG, 509.0, , , 
BD367342, PBBC LUER23GX.75 12TB 50PK  RX, 196.96, 189.38, , 
BMA50004, SEAKEM LE AGAROSE 500G LOW EEO, 746.14, 761.24, , 
BMA57031, FLASHGEL DNA CASSETTES - 9/PK, 154.2, 157.05, 140.09, 133.95
BP11054, METHANOL SEQ 4L, 73.17, 73.17, 72.44, 
BP11451, CHLOROFORM MOL.BIO. 1L, 118.98, 118.98, , 
BP11604, DIMETHYL FORMAMIDE SEQ 4L, 70.61, 59.058719999999994, , 
BP11704, ACETONITRILE(ANH) DNA-SYN 4L, 96.77, 96.77, , 
BP13324, 50X TRIS-ACETATE-EDTA(TAE)4L, 186.79, 186.79, 185.47, 
BP1356100, AGAROSE (MOL.BIOL.GRADE) 100G, 132.24, 132.24, 136.05, 
BP14061, ACRYLAMIDE: BISACRYLAMIDE 19:1, 148.77, 148.77, , 
BP14081, ACRYLAMIDE:BISACRYLAMIDE 29:1, 134.96, 134.96, 131.01, 
BP14202, PEPTONE POWDER 2KG, 368.72, 368.72, , 
BP1420500, PEPTONE POWDER 500G, 90.04, 90.04, 92.63, 
BP1421500, TRYPTONE 500G, 104.67, 104.67, 107.69, 
BP14222, YEAST EXTRACT DEHYDRATED 2KG, 335.38, 335.38, 345.04, 
BP1422500, YEAST EXTRACT DEHYDRATED 500G, 92.04, 92.04, 94.69, 
BP14232, AGAR GRANULATED 2KG, 486.46, 486.46, 500.47, 
BP1423500, AGAR GRANULATED 500G, 119.12, 119.12, 122.55, 
BP14252, LB AGAR MILLER POWDER 2KG, 462.06, 462.06, 448.25, 
BP1425500, LB AGAR MILLER POWDER 500G, 110.69, 110.69, 113.88, 
BP14262, LB LUR BERT BROTH MILLER 2KG, 159.53, 159.53, 164.13, 
BP1426500, LB BROTH MILLER POWDER 500G, 48.35, 48.35, 49.74, 
BP1521, TRIS BASE 1KG, 114.42, 114.42, 117.72, 
BP1525, TRIS BASE 5 KG, 421.55, 421.55, 433.69, 
BP1541, TRIS TRIPLE CRYSTALIZED 1KG, 199.32, 199.32, 193.24, 
BP160100, AGAROSE LOW EEO 100G, 111.94, 96.73343999999999, 99.52, 
BP160500, AGAROSE LOW EEO 500 GM, 318.54, 318.54, 327.72, 
BP166500, SDS 500G, 112.34, 94.93524, 97.67, 98.11
BP1700500, PROTEINASE K, 511.69, 511.69, , 
BP17225, DTT 25G, 490.44, 490.44, 475.61, 
BP1752I400, PHEN CHLOR IAALC PH6.7 400ML, 121.11, 105.3, 101.26, 
BP176025, AMPICILLIN SODIUM SALT 25G, 71.16, 71.16, 73.21, 
BP22010, SUCROSE 10 KG, 339.83, 339.83, 332.52, 
BP220212, SUCROSE 2.5KG, 101.15, 101.15, , 
BP227500, FORMAMIDE MOL BIO GRADE 500ML, 107.76, 107.76, , 
BP2291, GLYCEROL 1L, 111.42, 111.42, 114.63, 
BP2294, GLYCEROL 4L, 416.19, 416.19, 403.05, 
BP231100, DMSO DIMETHYL SULFOXIDE 100ML, 25.02, 21.79, 21.33, 
BP2401212, ACETIC ACID GLAC ACS 2.5L, 132.54, 132.54, 131.48, 
BP243820, 1 X PBS 20L, 275.6, 275.6, , 
BP24711, BUFFER 10X TBS PH 7.4 1LT, 75.95, 75.95, , 
BP2579100, 1KB PLUS DNA LADDER, 137.7, 137.7, 134.45, 
BP2581200, 100BP LOW SCALE DNA LADDER, 203.94, 203.94, , 
BP26324, ISOPROPANOL HPLC 4L, 109.35, 84.93336, 85.28, 
BP2633500, HYDROGEN PEROXIDE 30% 500ML, 32.63, 32.25, , 
BP2657100, HUMAN SERUM NORMAL POOL 100ML, 222.09, , , 
BP2818100, MOLECULAR BIOLOGY GRADE ETHANO, 32.04, 32.04, 180.78 (matched with similar item: BP28184), 
BP28184, MOLECULAR BIOLOGY GRADE ETHANO, 187.11, 187.11, 180.78, 
BP2818500, MOLECULAR BIOLOGY GRADE ETHANO, 45.38, 45.38, 46.69, 
BP2944100, PBS TABLETS 100UN, 109.21, 92.2428, , 
BP2956100, PUROMYCIN, 197.84, 197.84, , 
BP308500, MOPS 500G, 185.14, 185.14, 190.47, 
BP3101, HEPES BUFFER 1KG, 356.35, 356.35, 345.93, 
BP310500, HEPES 500G, 208.17, 208.17, 201.63, 
BP35810, SODIUM CHLORIDE 10KG, 127.83, 127.83, 125.17, 
BP358212, SODIUM CHLORIDE 2.5KG, 78.29, 78.29, 75.97, 
BP3603500, EZ-RUN PRESTAIN RECOMB PROTLAD, 122.37, 106.5, , 100.77
BP3811, GLYCINE 1KG, 57.52, 57.52, 59.18, 
BP3815, GLYCINE 5KG, 210.42, 210.42, 206.18, 
BP3991, PBS PHOSPHATE BUFFER SALI 10X, 56.36, 56.36, 57.98, 
BP39920, 10X PHOSPH BUFF SALINE(PBS)20L, 367.32, 367.32, 377.9, 
BP3994, 10XPHOS BUFF SALINE (PBS) 4L, 120.66, 120.66, 124.14, 
BP5611, WATER (RNA GRADE) 1 LITER, 37.63, 37.63, 38.71, 
BP6651, PHOS BUF SAL 10X CONC 2X1L/PK, 49.22, 49.22, 50.64, 
BP82031GAL, 70% ETHANOL DENATURED, 39.96, 35.56, 34.4, 
BP9065, KANAMYCIN MONO SULFATE 5G, 51.0, 51.0, 52.47, 
BP9181, GENTAMYCIN SULFATE 1G, 86.17, 86.17, 85.25, 
BP9703100, BSA PROTEASE FREE POWDER, 183.34, 183.34, , 
BP9704100, BSA FATTY ACID FREE POWDER, 242.27, 242.27, , 
BP9706100, BSA DNASE FREE POWDER, 111.96, 97.66, , 92.72
BP97222, LB BROTH LENNOX GRAN 2KG, 262.51, 261.0, , 
BP97232, LB BROTH MILLER GRAN 2KG, 267.95, 267.95, , 
BP97235, LURIA BROTH GRAN 5KG, 561.09, 561.09, , 
BP97285, TERRIFIC BROTH GRAN 5KG, 626.23, 555.37, , 
BP97445, AGAR GRANULATED  5KG, 597.07, 519.92, , 
BW04315Q, HBSS W/O CA MG P-RED 1L, 21.28, 21.28, 21.89, 21.47
BW04418Q, X-VIVO 15; 1L, 156.18, 165.19, 145.1, 
BW10543F, HBSS 1X W/O CAMG W/PR; 500ML, 14.46, 14.46, , 
BW12614F, DMEM+GLUC W/O GLUT; 500ML, 25.09, 25.09, , 
BW17512F, DPBS(1X) W/O CA MG 500ML, 11.81, 9.4491, , 8.94
BW17602E, PENNSTREP MIX, 25.95, 25.95, , 
B11043, TRYPTICASE SOY AGAR 500G, 129.38, 104.37, , 
B11876, ISOVITALEX ENRICH 5X10ML/PK, 234.72, 176.53, , 
B11929, BOTTLE YEAST EXTRACT 454G, 207.92, 199.4, , 
B12351, MIDDLEBROOK OADC 500ML, 392.93, 296.17, 296.52, 
B21261X, TRYPT SOY AGR W/5 BLD 100PK, 95.93, 68.49, 70.46, 70.78
B21734X, CDC ANAEROBE BLD AGR 100/PK, 290.12, 178.95, , 
B220144, CLTSWB SGLPLY FOAM SWB C/PK RX, 223.19, 138.58, , 
B220145, CLTSWB DUAL PLY FM SWB C/PK, 316.95, 214.22, , 
B220531, UVT 3ML W/FLCK FLX MINI50PK RX, 346.25, 295.36, , 
B260001, SACHET GASPAK EZ 20/PK, 115.48, 96.94, 97.21, 
B260678, GASPACK EZ ANAEROBE CONT 20PK, 127.43, 119.27, 118.87, 
B260680, GASPACK EZ CAMPY CONT 20PK, 98.01, 96.94, , 
B260683, GASPACK EZ ANAEROBE POUCH 20PK, 128.68, 127.11, 126.73, 
B260684, GASPACK EZ CO2 POUCH 20/PK, 97.73, 100.72, , 
B302995, SYR ONLY LUERLOK 10ML 200PK RX, 36.05, 36.05, 37.09, 
B36488000, BLOOD TRNSFER DEVICE 198/CS RX, 244.33, 244.26, , 
B367344, PBBCS LUR21GX.75  12TB 50/PKRX, 197.9, 195.76, 194.1, 
B4294, N-BUTYL CHLORIDE HPLC 4L, 476.17, 476.17, 450.4, 
B4320115, CLTSWB STERL SINGLE 100/PK, 54.4, 60.12, , 
B4331746, DRYSLIDE OXIDASE 75/PK, 226.22, 171.41, 166.22, 166.97
B4354093, CHROMAGAR CANDIDA AGAR 20PK, 125.96, 111.74, 109.3, 
B442020, BACTEC PLS PEDS PLAS 50BTLPKRX, 705.3, 707.05, 687.44, 
B71051, DRY ANAER INDICTRSTRIP100PK, 163.43, 132.36, 131.91, 
CB354248, BD MATRGL MATRIX H PROTEIN ECM, 534.1, 556.63, 493.95, 
CB354249, COLGN I HIGH PROTEIN RAT TAIL, 247.14, 257.29, 245.82, 
CB40115, T-STIM RAT WITH CONA 100ML, 577.28, , , 
CB40221, RECOMB HUMAN LAMININ100UG1EA, 76.1, 71.68, , 
CB40230, GRTH FCTR REDUCED MATRGL 10ML, 379.64, 395.43, 353.59, 339.99
CB40230A, GRTH FCTR REDUCED MATRGL 5ML, 228.52, 237.81, , 
CB40230C, GRO FACTOR RE/MATRIGEL MATRIX, 405.8, 422.8, 375.84, 361.38
CB40232, LAMININ MOUSE 1MG, 110.78, 115.43, 113.74, 113.74
CB40234, MATRIGEL MATRIX 10ML, 296.0, 276.0, 312.71, 300.68
CB40234A, MATRIGEL MATRIX 5ML, 193.72, 182.1, 197.07, 193.21
CB40234C, MATRIGEL PHENOL-RED FREE 10ML, 408.83, 426.01, 379.69, 365.09
CB40236, COLLAGEN I RAT TAIL 100MG, 218.53, 227.37, 217.26, 
CB40240, CELL-TAK CELL/TISSUE ADHSV 1MG, 252.25, 262.56, , 257.11
CDK008, CELLXVIVOMDENDR CELL DI 1 KT, 376.31, 349.0, , 
